question,answer,source,focus_area,q_word_len,a_word_len
Is Multicentric Castleman Disease inherited ?,"Is multicentric Castleman disease inherited? Although the exact underlying cause of multicentric Castleman disease is unknown, it is thought to occur sporadically in people with no family history of the condition.",GARD,Multicentric Castleman Disease,6,31
Who is at risk for Hendra Virus Disease (HeV)? ?,"Transmission of Hendra virus to humans can occur after exposure to body fluids and tissues or excretions of horses infected with Hendra virus. 
 
Horses may be infected after exposure to virus in the urine of infected flying foxes. 
 
To date, no human-to-human transmission has been documented.",CDC,Hendra Virus Disease (HeV),10,46
How many people are affected by GM1 gangliosidosis ?,"GM1 gangliosidosis is estimated to occur in 1 in 100,000 to 200,000 newborns. Type I is reported more frequently than the other forms of this condition. Most individuals with type III are of Japanese descent.",GHR,GM1 gangliosidosis,9,35
What are the treatments for Canavan Disease ?,"Canavan disease causes progressive brain atrophy. There is no cure, nor is there a standard course of treatment. Treatment is symptomatic and supportive.",NINDS,Canavan Disease,8,23
What are the treatments for histidinemia ?,These resources address the diagnosis or management of histidinemia:  - Genetic Testing Registry: Histidinemia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,histidinemia,7,45
what research (or clinical trials) is being done for Progressive Supranuclear Palsy ?,"Research is ongoing on Parkinson's and Alzheimer's diseases. Better understanding of those common, related disorders will go a long way toward solving the problem of PSP, just as studying PSP may help shed light on Parkinson's and Alzheimer's diseases.",NINDS,Progressive Supranuclear Palsy,13,39
How many people are affected by succinic semialdehyde dehydrogenase deficiency ?,Approximately 350 people with succinic semialdehyde dehydrogenase deficiency have been reported worldwide.,GHR,succinic semialdehyde dehydrogenase deficiency,11,12
How many people are affected by Klippel-Trenaunay syndrome ?,"Klippel-Trenaunay syndrome is estimated to affect at least 1 in 100,000 people worldwide.",GHR,Klippel-Trenaunay syndrome,9,13
How many people are affected by benign familial neonatal seizures ?,"Benign familial neonatal seizures occurs in approximately 1 in 100,000 newborns.",GHR,benign familial neonatal seizures,11,11
What is the outlook for Gerstmann-Straussler-Scheinker Disease ?,"GSS is a slowly progressive condition usually lasting from 2 to 10 years. The disease ultimately causes severe disability and finally death, often after the patient goes into a coma or has a secondary infection such as aspiration pneumonia due to an impaired ability to swallow.",NINDS,Gerstmann-Straussler-Scheinker Disease,8,46
what research (or clinical trials) is being done for Brachial Plexus Injuries ?,The NINDS conducts and supports research on injuries to the nervous system such as brachial plexus injuries. Much of this research is aimed at finding ways to prevent and treat these disorders.,NINDS,Brachial Plexus Injuries,13,32
What are the treatments for Orofaciodigital syndrome 2 ?,"What treatment is available for orofaciodigital syndrome type 2? Treatment is dependent on the symptoms. For example, reconstructive surgery might be performed to correct oral, facial, and/or finger and toe abnormalities.",GARD,Orofaciodigital syndrome 2,9,31
What is (are) Parasites - Toxocariasis (also known as Roundworm Infection) ?,"Frequently Asked Questions (FAQs)
    
    
                
    Fact Sheets",CDC,Parasites - Toxocariasis (also known as Roundworm Infection),12,6
What is the outlook for Hypotonia ?,"Hypotonia can be a life-long condition. In some cases, however, muscle tone improves over time.",NINDS,Hypotonia,7,15
What are the treatments for Cole disease ?,These resources address the diagnosis or management of Cole disease:  - Genetic Testing Registry: Cole disease   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Cole disease,8,47
How many people are affected by sialidosis ?,The overall prevalence of sialidosis is unknown. Sialidosis type I appears to be more common in people with Italian ancestry.,GHR,sialidosis,8,20
How many people are affected by common variable immune deficiency ?,"CVID is estimated to affect 1 in 25,000 to 1 in 50,000 people worldwide, although the prevalence can vary across different populations.",GHR,common variable immune deficiency,11,22
How many people are affected by Alexander disease ?,The prevalence of Alexander disease is unknown. About 500 cases have been reported since the disorder was first described in 1949.,GHR,Alexander disease,9,21
How many people are affected by Schwartz-Jampel syndrome ?,Schwartz-Jampel syndrome appears to be a rare condition. About 150 cases have been reported in the medical literature.,GHR,Schwartz-Jampel syndrome,9,18
What are the treatments for complement factor I deficiency ?,These resources address the diagnosis or management of complement factor I deficiency:  - MedlinePlus Encyclopedia: Complement   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,complement factor I deficiency,10,47
How many people are affected by X-linked infantile nystagmus ?,"The incidence of all forms of infantile nystagmus is estimated to be 1 in 5,000 newborns; however, the precise incidence of X-linked infantile nystagmus is unknown.",GHR,X-linked infantile nystagmus,10,26
How many people are affected by hereditary paraganglioma-pheochromocytoma ?,Hereditary paraganglioma-pheochromocytoma occurs in approximately 1 in 1 million people.,GHR,hereditary paraganglioma-pheochromocytoma,9,10
How many people are affected by familial paroxysmal nonkinesigenic dyskinesia ?,Familial paroxysmal nonkinesigenic dyskinesia is a very rare disorder. Its prevalence is estimated to be 1 in 5 million people.,GHR,familial paroxysmal nonkinesigenic dyskinesia,11,20
What are the treatments for Brain and Spinal Tumors ?,"The three most commonly used treatments are surgery, radiation, and chemotherapy. Doctors also may prescribe steroids to reduce the tumor-related swelling inside the CNS.",NINDS,Brain and Spinal Tumors,10,24
What are the treatments for Scleroderma ?,"How might scleroderma be treated? Currently, there is not a cure for scleroderma, however treatments are available to relieve symptoms and limit damage. Treatment will vary depending on your symptoms.",GARD,Scleroderma,7,30
"How many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?","IMAGe syndrome is very rare, with only about 20 cases reported in the medical literature. The condition has been diagnosed more often in males than in females, probably because females do not have associated genital abnormalities.",GHR,"intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies",18,36
How many people are affected by Greenberg dysplasia ?,Greenberg dysplasia is a very rare condition. Approximately ten cases have been reported in the scientific literature.,GHR,Greenberg dysplasia,9,17
How many people are affected by metatropic dysplasia ?,Metatropic dysplasia is a rare disease; its exact prevalence is unknown. More than 80 affected individuals have been reported in the scientific literature.,GHR,metatropic dysplasia,9,23
What are the treatments for Hendra Virus Disease (HeV) ?,"The drug ribavirin has been shown to be effective against the viruses in vitro, but the clinical usefulness of this drug is uncertain. 
                
A post-exposure therapy with a Nipah/Hendra neutralizing antibody, efficacious in animal models is in human preclinical development stages in Australia.",CDC,Hendra Virus Disease (HeV),10,43
What is the outlook for Megalencephaly ?,The prognosis for infants and children with megalencephaly depends upon the underlying cause and the associated neurological disorders. The prognosis for children with hemimegalencephaly is poor.,NINDS,Megalencephaly,7,26
How many people are affected by Carpenter syndrome ?,Carpenter syndrome is thought to be a rare condition; approximately 70 cases have been described in the scientific literature.,GHR,Carpenter syndrome,9,19
How many people are affected by ocular albinism ?,"The most common form of this disorder, ocular albinism type 1, affects at least 1 in 60,000 males. The classic signs and symptoms of this condition are much less common in females.",GHR,ocular albinism,9,32
What are the treatments for multiple sulfatase deficiency ?,These resources address the diagnosis or management of multiple sulfatase deficiency:  - Genetic Testing Registry: Multiple sulfatase deficiency   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,multiple sulfatase deficiency,9,49
What is the outlook for CADASIL ?,"Symptoms usually progress slowly. By age 65, the majority of persons with CADASIL have cognitive problems and dementia. Some will become dependent due to multiple strokes.",NINDS,CADASIL,7,26
Is Pelizaeus-Merzbacher disease inherited ?,How is Pelizaeus-Merzbacher disease inherited?,GARD,Pelizaeus-Merzbacher disease,5,5
How many people are affected by galactosialidosis ?,The prevalence of galactosialidosis is unknown; more than 100 cases have been reported. Approximately 60 percent of people with galactosialidosis have the juvenile/adult form. Most people with this type of the condition are of Japanese descent.,GHR,galactosialidosis,8,36
"What are the treatments for multicentric osteolysis, nodulosis, and arthropathy ?","These resources address the diagnosis or management of MONA:  - Genetic Testing Registry: Multicentric osteolysis, nodulosis and arthropathy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,"multicentric osteolysis, nodulosis, and arthropathy",11,49
How many people are affected by Sjgren-Larsson syndrome ?,"Sjgren-Larsson syndrome was first observed in Sweden, where the prevalence of this condition is 1 per 250,000 individuals. Outside Sweden, the prevalence of this condition is unknown.",GHR,Sjgren-Larsson syndrome,9,27
What is (are) Cataract ?,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov For more information about intraocular lenses, or IOLs, contact:  U.S. Food and Drug Administration  10903 New Hampshire Avenue  Silver Spring, MD 20993-0002  1-888-463-6332  E-mail: webmail@oc.fda.gov",NIHSeniorHealth,Cataract,5,42
What are the symptoms of Age-related Macular Degeneration ?,"An early symptom of wet AMD is that straight lines appear wavy. If you notice this condition or other changes to your vision, contact your eye care professional at once. You need a comprehensive dilated eye exam.",NIHSeniorHealth,Age-related Macular Degeneration,9,37
Is acute promyelocytic leukemia inherited ?,Acute promyelocytic leukemia is not inherited but arises from a translocation in the body's cells that occurs after conception.,GHR,acute promyelocytic leukemia,6,19
How many people are affected by ZAP70-related severe combined immunodeficiency ?,"ZAP70-related SCID is a rare disorder. Only about 20 affected individuals have been identified. The prevalence of SCID from all genetic causes combined is approximately 1 in 50,000.",GHR,ZAP70-related severe combined immunodeficiency,11,28
Do you have information about Native American Health,"Summary : Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from:       - Genetics    - Environmental factors    - Access to care    - Cultural factors        On this page, you'll find links to health issues that affect Native Americans.",MPlusHealthTopics,Native American Health,8,45
How many people are affected by malignant migrating partial seizures of infancy ?,"MMPSI is a rare condition. Although its prevalence is unknown, approximately 100 cases have been described in the medical literature.",GHR,malignant migrating partial seizures of infancy,13,20
How many people are affected by neuromyelitis optica ?,"Neuromyelitis optica affects approximately 1 to 2 per 100,000 people worldwide. Women are affected by this condition more frequently than men.",GHR,neuromyelitis optica,9,21
How many people are affected by deafness and myopia syndrome ?,The prevalence of deafness and myopia syndrome is unknown. Only a few affected families have been described in the medical literature.,GHR,deafness and myopia syndrome,11,21
How many people are affected by histidinemia ?,"Estimates of the incidence of histidinemia vary widely, ranging between 1 in 8,600 to 1 in 90,000 people.",GHR,histidinemia,8,18
How many people are affected by mucolipidosis II alpha/beta ?,"Mucolipidosis II alpha/beta is a rare disorder, although its exact prevalence is unknown. It is estimated to occur in about 1 in 100,000 to 400,000 individuals worldwide.",GHR,mucolipidosis II alpha/beta,10,27
How many people are affected by Apert syndrome ?,"Apert syndrome affects an estimated 1 in 65,000 to 88,000 newborns.",GHR,Apert syndrome,9,11
Is Dentatorubral-pallidoluysian atrophy inherited ?,How is dentatorubral-pallidoluysian atrophy (DRPLA) inherited?,GARD,Dentatorubral-pallidoluysian atrophy,5,6
what research (or clinical trials) is being done for Frontotemporal Dementia ?,"The National Institute of Neurological Disorders and Stroke (NINDS), and other institutes of the National Institutes of Health (NIH), conduct research related to FTD in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country.",NINDS,Frontotemporal Dementia,12,43
What are the treatments for Septo-optic dysplasia ?,"Can septo-optic dysplasia be cured? There is no cure for septo-optic dysplasia. Treatment is symptomatic. Hormone deficiencies may be treated with hormone replacement therapy. The optical problems are generally not treatable. Vision, physical, and occupational therapies may be required.",GARD,Septo-optic dysplasia,8,39
How many people are affected by hypohidrotic ectodermal dysplasia ?,"Hypohidrotic ectodermal dysplasia is the most common form of ectodermal dysplasia in humans. It is estimated to affect at least 1 in 17,000 people worldwide.",GHR,hypohidrotic ectodermal dysplasia,10,25
How many people are affected by familial idiopathic basal ganglia calcification ?,"FIBGC is thought to be a rare disorder; about 60 affected families have been described in the medical literature. However, because brain imaging tests are needed to recognize the calcium deposits, this condition is believed to be underdiagnosed.",GHR,familial idiopathic basal ganglia calcification,12,38
How many people are affected by Rothmund-Thomson syndrome ?,Rothmund-Thomson syndrome is a rare disorder; its incidence is unknown. About 300 people with this condition have been reported worldwide in scientific studies.,GHR,Rothmund-Thomson syndrome,9,23
Is Mowat-Wilson syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Mowat-Wilson syndrome,5,26
How many people are affected by 15q13.3 microdeletion ?,"15q13.3 microdeletion likely occurs in about 1 in 40,000 people in the general population. It appears to be more common in people with intellectual disability, epilepsy, schizophrenia, or autism spectrum disorders.",GHR,15q13.3 microdeletion,9,31
What is the outlook for Herpes Zoster Oticus ?,"Generally, the prognosis of herpes zoster oticus is good. However, in some cases, hearing loss may be permanent. Vertigo may last for days or weeks. Facial paralysis may be temporary or permanent.",NINDS,Herpes Zoster Oticus,9,32
What are the treatments for microcephalic osteodysplastic primordial dwarfism type II ?,These resources address the diagnosis or management of MOPDII:  - Genetic Testing Registry: Microcephalic osteodysplastic primordial dwarfism type 2   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,microcephalic osteodysplastic primordial dwarfism type II,12,50
What is (are) Coccygodynia ?,"Coccygodynia is a rare condition in that causes pain in and around the coccyx (tailbone). Although various causes have been described for the condition, the more common causes are direct falls and injury.",GARD,Coccygodynia,5,33
How many people are affected by hyperferritinemia-cataract syndrome ?,"Hyperferritinemia-cataract syndrome has been estimated to occur in 1 in 200,000 individuals.",GHR,hyperferritinemia-cataract syndrome,9,12
What is the outlook for Ataxia ?,The prognosis for individuals with ataxia and cerebellar/spinocerebellar degeneration varies depending on its underlying cause.,NINDS,Ataxia,7,15
How many people are affected by Amish lethal microcephaly ?,Amish lethal microcephaly occurs in approximately 1 in 500 newborns in the Old Order Amish population of Pennsylvania. It has not been found outside this population.,GHR,Amish lethal microcephaly,10,26
How many people are affected by chorea-acanthocytosis ?,"It is estimated that 500 to 1,000 people worldwide have chorea-acanthocytosis.",GHR,chorea-acanthocytosis,8,11
How many people are affected by hereditary hyperekplexia ?,The exact prevalence of hereditary hyperekplexia is unknown. This condition has been identified in more than 70 families worldwide.,GHR,hereditary hyperekplexia,9,19
How many people are affected by fumarase deficiency ?,Fumarase deficiency is a very rare disorder. Approximately 100 affected individuals have been reported worldwide. Several were born in an isolated religious community in the southwestern United States.,GHR,fumarase deficiency,9,28
How many people are affected by ovarian cancer ?,"Ovarian cancer affects about 12 in 100,000 women per year.",GHR,ovarian cancer,9,10
How many people are affected by Maffucci syndrome ?,"Maffucci syndrome is very rare. Since it was first described in 1881, fewer than 200 cases have been reported worldwide.",GHR,Maffucci syndrome,9,20
How many people are affected by Jackson-Weiss syndrome ?,Jackson-Weiss syndrome is a rare genetic disorder; its incidence is unknown.,GHR,Jackson-Weiss syndrome,9,11
"What is (are) Gay, Lesbian, Bisexual and Transgender Health ?","Gay, lesbian, bisexual and transgender individuals have special health concerns besides the usual ones that affect most men and women. On this page you'll find information about these specific health issues.",MPlusHealthTopics,"Gay, Lesbian, Bisexual and Transgender Health",10,31
what research (or clinical trials) is being done for Corticobasal Degeneration ?,"The NINDS supports and conducts research studies on degenerative disorders such as corticobasal degeneration. The goals of these studies are to increase scientific understanding of these disorders and to find ways to prevent, treat, and cure them.",NINDS,Corticobasal Degeneration,12,37
"What are the symptoms of Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome ?","What are the symptoms of polymicrogyria? A wide variety of symptoms may be observed in people with polymicrogyria, including: Cognitive deficits Epilepsy Paralysis of the face, throat, and tongue Difficulty with speech Drooling",GARD,"Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome",12,33
How many people are affected by trichohepatoenteric syndrome ?,Trichohepatoenteric syndrome is a rare condition with an estimated prevalence of about 1 in 1 million people. At least 44 cases have been reported in the medical literature.,GHR,trichohepatoenteric syndrome,9,28
What are the treatments for IBIDS syndrome ?,"What treatment is available for Tay syndrome? Treatments for Tay syndrome are symptomatic. There is no cure for ichthyosis, only treatments to help manage symptoms. The main treatment for ichthyosis is to hydrate (moisturize) the skin, hold in the moisture, and keep scale thickness to a minimum.",GARD,IBIDS syndrome,8,47
How many people are affected by mucopolysaccharidosis type VII ?,"The exact incidence of MPS VII is unknown, although it is estimated to occur in 1 in 250,000 newborns. It is one of the rarest types of mucopolysaccharidosis.",GHR,mucopolysaccharidosis type VII,10,28
How many people are affected by CATSPER1-related nonsyndromic male infertility ?,The prevalence of CATSPER1-related nonsyndromic male infertility is unknown.,GHR,CATSPER1-related nonsyndromic male infertility,11,9
How many people are affected by Buschke-Ollendorff syndrome ?,"Buschke-Ollendorff syndrome has an estimated incidence of 1 in 20,000 people worldwide.",GHR,Buschke-Ollendorff syndrome,9,12
How many people are affected by renal tubular acidosis with deafness ?,Renal tubular acidosis with deafness is a rare disorder; its prevalence is unknown.,GHR,renal tubular acidosis with deafness,12,13
How many people are affected by carnitine palmitoyltransferase I deficiency ?,CPT I deficiency is a rare disorder; fewer than 50 affected individuals have been identified. This disorder may be more common in the Hutterite and Inuit populations.,GHR,carnitine palmitoyltransferase I deficiency,11,27
How many people are affected by congenital central hypoventilation syndrome ?,"CCHS is a relatively rare disorder. Approximately 1,000 individuals with this condition have been identified. Researchers believe that some cases of sudden infant death syndrome (SIDS) or sudden unexplained death in children may be caused by undiagnosed CCHS.",GHR,congenital central hypoventilation syndrome,11,38
How many people are affected by ALG12-congenital disorder of glycosylation ?,ALG12-CDG is a rare condition; its prevalence is unknown. Only a handful of affected individuals have been described in the medical literature.,GHR,ALG12-congenital disorder of glycosylation,11,22
How many people are affected by X-linked severe combined immunodeficiency ?,"X-linked SCID is the most common form of severe combined immunodeficiency. Its exact incidence is unknown, but the condition probably affects at least 1 in 50,000 to 100,000 newborns.",GHR,X-linked severe combined immunodeficiency,11,29
"Is distal hereditary motor neuropathy, type II inherited ?","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,"distal hereditary motor neuropathy, type II",9,26
How many people are affected by X-linked adrenal hypoplasia congenita ?,"X-linked adrenal hypoplasia congenita is estimated to affect 1 in 12,500 newborns.",GHR,X-linked adrenal hypoplasia congenita,11,12
What are the treatments for familial HDL deficiency ?,These resources address the diagnosis or management of familial HDL deficiency:  - Genetic Testing Registry: Familial hypoalphalipoproteinemia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,familial HDL deficiency,9,48
Is distal arthrogryposis type 1 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of an altered gene in each cell is sufficient to cause the disorder. In many cases, a person with distal arthrogryposis type 1 has a parent and other close family members with the condition.",GHR,distal arthrogryposis type 1,7,47
What causes Iridocorneal endothelial syndrome ?,"What causes iridocorneal endothelial (ICE) syndrome? The cause of this disease is unknown. However, it has been theorized that a viral infection, such as Herpes simplex virus (HSV) or Epstein-Barr virus (EBV) may be the trigger that causes the cornea to swell.",GARD,Iridocorneal endothelial syndrome,6,42
Is ankyloblepharon-ectodermal defects-cleft lip/palate syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,7,26
What are the treatments for Congenital anosmia ?,"How might congenital anosmia be treated? Unfortunately, there is currently no known cure or treatment for congenital anosmia.",GARD,Congenital anosmia,8,18
How many people are affected by Cockayne syndrome ?,Cockayne syndrome occurs in about 2 per million newborns in the United States and Europe.,GHR,Cockayne syndrome,9,15
How many people are affected by Christianson syndrome ?,"Christianson syndrome is a rare condition, although the exact prevalence is unknown. The condition was first described in a South African family and has since been found people in other parts of the world.",GHR,Christianson syndrome,9,34
How many people are affected by paroxysmal nocturnal hemoglobinuria ?,"Paroxysmal nocturnal hemoglobinuria is a rare disorder, estimated to affect between 1 and 5 per million people.",GHR,paroxysmal nocturnal hemoglobinuria,10,17
"Is 48,XXYY syndrome inherited ?","Can 48,XXYY syndrome be inherited?",GARD,"48,XXYY syndrome",5,5
What is (are) Knee Replacement ?,"The main reason to have knee replacement surgery is to ease pain and disability caused by arthritis or other joint problems, while preserving movement. Less commonly, it is used to correct some kinds of knee deformity.",NIHSeniorHealth,Knee Replacement,6,36
How many people are affected by 3-methylglutaconyl-CoA hydratase deficiency ?,3-methylglutaconyl-CoA hydratase deficiency is a rare disorder; at least 20 cases have been reported in the scientific literature.,GHR,3-methylglutaconyl-CoA hydratase deficiency,10,18
How to diagnose Urachal cyst ?,How is a urachal cyst diagnosed? The diagnosis of a urachal cyst may be suspected based on the presence of characteristic signs and symptoms. The following tests may then be ordered to confirm the diagnosis: Ultrasound Magnetic Resonance Imaging (MRI scan) Computed Tomography (CT scan),GARD,Urachal cyst,6,45
What are the treatments for Isaacs' Syndrome ?,"Anticonvulsants, including phenytoin and carbamazepine, usually provide significant relief from the stiffness, muscle spasms, and pain associated with Isaacs' syndrome. Plasma exchange may provide short-term relief for individuals with some forms of the acquired disorder.",NINDS,Isaacs' Syndrome,8,35
Is Townes-Brocks Syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Townes-Brocks Syndrome,5,26
What are the treatments for Familial exudative vitreoretinopathy ?,How might familial exudative vitreoretinopathy be treated? Affected individuals with abnormal blood vessel formation in their retina can be treated with laser therapy. Surgery may also be necessary to correct retinal detachment.,GARD,Familial exudative vitreoretinopathy,9,32
How many people are affected by otopalatodigital syndrome type 2 ?,"Otopalatodigital syndrome type 2 is a rare disorder, affecting fewer than 1 in every 100,000 individuals. Its specific incidence is unknown.",GHR,otopalatodigital syndrome type 2,11,21
How many people are affected by mitochondrial complex III deficiency ?,"The prevalence of mitochondrial complex III deficiency is unknown, although the condition is thought to be rare.",GHR,mitochondrial complex III deficiency,11,17
"How many people are affected by T-cell immunodeficiency, congenital alopecia, and nail dystrophy ?","T-cell immunodeficiency, congenital alopecia, and nail dystrophy is a rare disorder. It has been diagnosed in only a few individuals, almost all of whom are members of a large extended family from a community in southern Italy.",GHR,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",14,37
what research (or clinical trials) is being done for Cerebral Atrophy ?,"The NINDS funds research looking at many of the diseases and disorders that cause cerebral atrophy. Understanding the biological mechanisms that cause neurons to die in the brain will help researchers find ways to prevent, treat, and even cure the diseases that lead to cerebral atrophy.",NINDS,Cerebral Atrophy,12,46
How to diagnose Bronchiolitis obliterans organizing pneumonia ?,"How is bronchiolitis obliterans organizing pneumonia (BOOP) diagnosed? BOOP is typically diagnosed by lung biopsy, although imaging tests and pulmonary function tests can also provide information for diagnosis.",GARD,Bronchiolitis obliterans organizing pneumonia,8,28
How many people are affected by essential pentosuria ?,"Essential pentosuria occurs almost exclusively in individuals with Ashkenazi Jewish ancestry. Approximately 1 in 3,300 people in this population are affected.",GHR,essential pentosuria,9,21
How many people are affected by hereditary neuralgic amyotrophy ?,"Hereditary neuralgic amyotrophy is a rare disorder, but its specific prevalence is unknown. Approximately 200 families affected by the disorder have been identified worldwide.",GHR,hereditary neuralgic amyotrophy,10,24
How many people are affected by L1 syndrome ?,"L1 syndrome is estimated to occur in 1 in 25,000 to 60,000 males. Females are rarely affected by this condition.",GHR,L1 syndrome,9,20
Do you have information about Teens' Page,"Summary : If you are a teenager, this page is for you!     It includes materials specifically for you - not for your parents - about health and safety for teens. There are quizzes, games and lots of cool web sites for you to explore. Have fun!",MPlusHealthTopics,Teens' Page,7,46
Is caudal regression syndrome inherited ?,"Caudal regression syndrome occurs sporadically, which means it occurs in people with no history of the condition in their family. Multiple genetic and environmental factors likely play a part in determining the risk of developing this condition.",GHR,caudal regression syndrome,6,37
"How many people are affected by 48,XXYY syndrome ?","48,XXYY syndrome is estimated to affect 1 in 18,000 to 50,000 males.",GHR,"48,XXYY syndrome",9,12
What is the outlook for Opsoclonus Myoclonus ?,"The prognosis for opsoclonus myoclonus varies depending on the symptoms and the presence and treatment of tumors. With treatment of the underlying cause of the disorder, there may be an improvement of symptoms. The symptoms sometimes recur without warning. Generally the disorder is not fatal.",NINDS,Opsoclonus Myoclonus,8,45
What causes Microhydranencephaly ?,"What causes microhydranencephaly? In many cases, the exact, underlying cause of microhydranencephaly is unknown. There are reports of families in which the condition is caused by changes (mutations) in the NDE1 gene. In these rare cases, more than one family member (often a pair of siblings) had the condition.",GARD,Microhydranencephaly,4,49
How many people are affected by Laron syndrome ?,Laron syndrome is a rare disorder. About 350 people have been diagnosed with the condition worldwide. The largest single group of affected individuals (about 100 people) lives in an area of southern Ecuador.,GHR,Laron syndrome,9,33
How many people are affected by pseudocholinesterase deficiency ?,"Pseudocholinesterase deficiency occurs in 1 in 3,200 to 1 in 5,000 people. It is more common in certain populations, such as the Persian Jewish community and Alaska Natives.",GHR,pseudocholinesterase deficiency,9,28
What are the treatments for Nakajo-Nishimura syndrome ?,These resources address the diagnosis or management of Nakajo-Nishimura syndrome:  - Genetic Testing Registry: Nakajo syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Nakajo-Nishimura syndrome,8,47
What is the outlook for Tropical Spastic Paraparesis ?,"HAM/TSP is a progressive disease, but it is rarely fatal. Most individuals live for several decades after the diagnosis. Their prognosis improves if they take steps to prevent urinary tract infection and skin sores, and if they participate in physical and occupational therapy programs.",NINDS,Tropical Spastic Paraparesis,9,44
Do you have information about African American Health,"Summary : Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from       - Genetics    - Environmental factors    - Access to care    - Cultural factors        On this page, you'll find links to health issues that affect African Americans.",MPlusHealthTopics,African American Health,8,45
How many people are affected by congenital mirror movement disorder ?,Congenital mirror movement disorder is a very rare disorder. Its prevalence is thought to be less than 1 in 1 million. Researchers suggest that some mildly affected individuals may never be diagnosed.,GHR,congenital mirror movement disorder,11,32
What is the outlook for Pervasive Developmental Disorders ?,Early intervention including appropriate and specialized educational programs and support services plays a critical role in improving the outcome of individuals with PDD. PDD is not fatal and does not affect normal life expectancy.,NINDS,Pervasive Developmental Disorders,9,34
What causes Esthesioneuroblastoma ?,What causes esthestioneuroblastoma? The cause of esthesioneuroblastoma is currently unknown.,GARD,Esthesioneuroblastoma,4,10
What is the outlook for Frontotemporal Dementia ?,"The outcome for people with FTD is poor. The disease progresses steadily and often rapidly, ranging from less than 2 years in some individuals to more than 10 years in others. Eventually some individuals with FTD will need 24-hour care and monitoring at home or in an institutionalized care setting.",NINDS,Frontotemporal Dementia,8,50
What is the outlook for Chiari Malformation ?,"Many people with Type I CM are asymptomatic and do not know they have the condition. Many individuals with the more severe types of CM and have surgery see a reduction in their symptoms and/or prolonged periods of relative stability, although paralysis is generally permanent.",NINDS,Chiari Malformation,8,45
How many people are affected by carbamoyl phosphate synthetase I deficiency ?,"Carbamoyl phosphate synthetase I deficiency is a rare disorder; its overall incidence is unknown. Researchers in Japan have estimated that it occurs in 1 in 800,000 newborns in that country.",GHR,carbamoyl phosphate synthetase I deficiency,12,30
How many people are affected by Loeys-Dietz syndrome ?,The prevalence of Loeys-Dietz syndrome is unknown. Loeys-Dietz syndrome types I and II appear to be the most common forms.,GHR,Loeys-Dietz syndrome,9,20
